timestamp,park,ride,wait_time,is_open
2026-07-18 00:09:45,Islands of Adventure,Camp Jurassic™,0,False
2026-07-18 00:09:45,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-07-18 00:09:45,Islands of Adventure,Jurassic Park River Adventure,0,False
2026-07-18 00:09:45,Islands of Adventure,Jurassic World VelociCoaster,75,True
2026-07-18 00:09:45,Islands of Adventure,Pteranodon Flyers,30,True
2026-07-18 00:09:45,Islands of Adventure,Skull Island: Reign of Kong™,15,True
2026-07-18 00:09:45,Islands of Adventure,Doctor Doom's Fearfall®,5,True
2026-07-18 00:09:45,Islands of Adventure,Doctor Doom's Fearfall® Single Rider,0,True
2026-07-18 00:09:45,Islands of Adventure,Storm Force Accelatron®,5,True
2026-07-18 00:09:45,Islands of Adventure,The Amazing Adventures of Spider-Man®,15,True
2026-07-18 00:09:45,Islands of Adventure,The Incredible Hulk Coaster®,15,True
2026-07-18 00:09:45,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-07-18 00:09:45,Islands of Adventure,Caro-Seuss-el™,5,True
2026-07-18 00:09:45,Islands of Adventure,If I Ran The Zoo™,0,False
2026-07-18 00:09:45,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",10,True
2026-07-18 00:09:45,Islands of Adventure,The Cat in The Hat™,5,True
2026-07-18 00:09:45,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,10,True
2026-07-18 00:09:45,Islands of Adventure,Flight of the Hippogriff™,15,True
2026-07-18 00:09:45,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,80,True
2026-07-18 00:09:45,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™ Single Rider,0,False
2026-07-18 00:09:45,Islands of Adventure,Harry Potter and the Forbidden Journey™,10,True
2026-07-18 00:09:45,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-07-18 00:09:45,Islands of Adventure,Hogwarts Express™ - Hogsmeade™ Station,15,True
