timestamp,park,ride,wait_time,is_open
2026-05-27 00:07:01,Islands of Adventure,Camp Jurassic™,0,False
2026-05-27 00:07:01,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-05-27 00:07:01,Islands of Adventure,Jurassic Park River Adventure,0,False
2026-05-27 00:07:01,Islands of Adventure,Jurassic World VelociCoaster,55,True
2026-05-27 00:07:01,Islands of Adventure,Pteranodon Flyers,0,False
2026-05-27 00:07:01,Islands of Adventure,Skull Island: Reign of Kong™,10,True
2026-05-27 00:07:01,Islands of Adventure,Doctor Doom's Fearfall®,45,True
2026-05-27 00:07:01,Islands of Adventure,Storm Force Accelatron®,0,False
2026-05-27 00:07:01,Islands of Adventure,The Amazing Adventures of Spider-Man®,15,True
2026-05-27 00:07:01,Islands of Adventure,The Incredible Hulk Coaster®,15,True
2026-05-27 00:07:01,Islands of Adventure,The Incredible Hulk Coaster® Single Rider,0,True
2026-05-27 00:07:01,Islands of Adventure,Caro-Seuss-el™,5,True
2026-05-27 00:07:01,Islands of Adventure,If I Ran The Zoo™,0,False
2026-05-27 00:07:01,Islands of Adventure,"One Fish, Two Fish, Red Fish, Blue Fish™",5,True
2026-05-27 00:07:01,Islands of Adventure,The Cat in The Hat™,5,True
2026-05-27 00:07:01,Islands of Adventure,The High in the Sky Seuss Trolley Train Ride!™,10,True
2026-05-27 00:07:01,Islands of Adventure,Flight of the Hippogriff™,30,True
2026-05-27 00:07:01,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure™,110,True
2026-05-27 00:07:01,Islands of Adventure,Harry Potter and the Forbidden Journey™,35,True
2026-05-27 00:07:01,Islands of Adventure,Harry Potter and the Forbidden Journey™ Single Rider,0,True
2026-05-27 00:07:01,Islands of Adventure,Hogwarts Express™ - Hogsmeade™ Station,10,True
2026-05-27 00:07:01,Islands of Adventure,Ollivanders™ Experience in Hogsmeade™,15,True
2026-05-27 00:07:01,Islands of Adventure,Dudley Do-Right's Ripsaw Falls®,35,True
2026-05-27 00:07:01,Islands of Adventure,"Me Ship, The Olive®",0,False
2026-05-27 00:07:01,Islands of Adventure,Popeye & Bluto's Bilge-Rat Barges®,0,False
2026-05-27 00:07:01,Universal Studios Florida,Trolls Trollercoaster,15,True
2026-05-27 00:07:01,Universal Studios Florida,E.T. Adventure™,25,True
2026-05-27 00:07:01,Universal Studios Florida,Despicable Me Minion Mayhem™,20,True
2026-05-27 00:07:01,Universal Studios Florida,Illumination Theater,0,False
2026-05-27 00:07:01,Universal Studios Florida,Illumination's Villain-Con Minion Blast,5,True
2026-05-27 00:07:01,Universal Studios Florida,Race Through New York Starring Jimmy Fallon™,10,True
2026-05-27 00:07:01,Universal Studios Florida,Revenge of the Mummy™,20,True
2026-05-27 00:07:01,Universal Studios Florida,Revenge of the Mummy™ Single Rider,0,True
2026-05-27 00:07:01,Universal Studios Florida,Hollywood Rip Ride Rockit™,0,False
2026-05-27 00:07:01,Universal Studios Florida,TRANSFORMERS™ The Ride-3D,20,True
2026-05-27 00:07:01,Universal Studios Florida,Fast & Furious - Supercharged™,0,False
2026-05-27 00:07:01,Universal Studios Florida,Fast & Furious - Supercharged™ Single Rider,0,True
2026-05-27 00:07:01,Universal Studios Florida,Harry Potter and the Escape from Gringotts™,35,True
2026-05-27 00:07:01,Universal Studios Florida,Harry Potter and the Escape from Gringotts™ Single Rider,0,True
2026-05-27 00:07:01,Universal Studios Florida,Hogwarts Express™ - King's Cross Station,50,True
2026-05-27 00:07:01,Universal Studios Florida,Hogwarts™ Express - First Train,0,False
2026-05-27 00:07:01,Universal Studios Florida,Hogwarts™ Express - Last Train,0,False
2026-05-27 00:07:01,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
